datetime_utc,datetime_athens,hour_utc,forecast_solar_MW,forecast_wind_MW,forecast_total_MW,irradiance_Wm2,cloudcover_pct,temperature_C
2026-05-11 00:00:00+00:00,2026-05-11 03:00:00+03:00,0,0.0,0.0,0.0,0.0,74,17.4
2026-05-11 01:00:00+00:00,2026-05-11 04:00:00+03:00,1,0.0,78.3,78.3,0.0,79,16.4
2026-05-11 02:00:00+00:00,2026-05-11 05:00:00+03:00,2,0.0,0.0,0.0,0.0,100,16.5
2026-05-11 03:00:00+00:00,2026-05-11 06:00:00+03:00,3,0.0,0.0,0.0,0.0,100,16.7
2026-05-11 04:00:00+00:00,2026-05-11 07:00:00+03:00,4,19.8,0.0,19.8,16.0,100,16.8
2026-05-11 05:00:00+00:00,2026-05-11 08:00:00+03:00,5,24.3,0.0,24.3,129.0,100,17.5
2026-05-11 06:00:00+00:00,2026-05-11 09:00:00+03:00,6,38.7,0.0,38.7,314.0,96,19.8
2026-05-11 07:00:00+00:00,2026-05-11 10:00:00+03:00,7,38.8,0.0,38.8,494.0,100,21.8
2026-05-11 08:00:00+00:00,2026-05-11 11:00:00+03:00,8,38.9,31.3,70.2,630.0,100,23.6
2026-05-11 09:00:00+00:00,2026-05-11 12:00:00+03:00,9,38.9,224.8,263.7,682.0,100,24.5
2026-05-11 10:00:00+00:00,2026-05-11 13:00:00+03:00,10,40.1,514.9,555.0,791.0,100,25.5
2026-05-11 11:00:00+00:00,2026-05-11 14:00:00+03:00,11,40.1,612.3,652.4,712.0,100,25.7
2026-05-11 12:00:00+00:00,2026-05-11 15:00:00+03:00,12,39.7,543.3,583.1,725.0,46,26.4
2026-05-11 13:00:00+00:00,2026-05-11 16:00:00+03:00,13,39.7,397.2,436.9,779.0,13,27.1
2026-05-11 14:00:00+00:00,2026-05-11 17:00:00+03:00,14,39.7,428.9,468.6,649.0,15,26.8
2026-05-11 15:00:00+00:00,2026-05-11 18:00:00+03:00,15,39.7,441.4,481.1,472.0,7,26.1
2026-05-11 16:00:00+00:00,2026-05-11 19:00:00+03:00,16,39.7,214.1,253.8,270.0,29,25.0
2026-05-11 17:00:00+00:00,2026-05-11 20:00:00+03:00,17,9.7,0.0,9.7,91.0,9,23.3
2026-05-11 18:00:00+00:00,2026-05-11 21:00:00+03:00,18,0.0,0.0,0.0,3.0,0,21.9
2026-05-11 19:00:00+00:00,2026-05-11 22:00:00+03:00,19,0.0,0.0,0.0,0.0,3,20.9
2026-05-11 20:00:00+00:00,2026-05-11 23:00:00+03:00,20,0.0,0.0,0.0,0.0,44,19.8
2026-05-11 21:00:00+00:00,2026-05-12 00:00:00+03:00,21,0.0,106.0,106.0,0.0,36,19.1
2026-05-11 22:00:00+00:00,2026-05-12 01:00:00+03:00,22,0.0,480.6,480.6,0.0,100,18.6
2026-05-11 23:00:00+00:00,2026-05-12 02:00:00+03:00,23,0.0,866.0,866.0,0.0,100,18.6
