datetime_utc,Solar_MW,WindOnshore_MW,TotalRES_MW,irradiance_Wm2,temperature_C,datetime_athens,hour_of_day,month,day_of_week,is_weekend,windspeed_greece_weighted_ms,windspeed_greece_simple_ms
2024-01-01 00:00:00+00:00,0.0,738.0,738.0,0.0,12.9,2024-01-01 02:00:00+02:00,0,1,0,0,2.7624999999999997,2.534
2024-01-01 01:00:00+00:00,0.0,837.0,837.0,0.0,12.9,2024-01-01 03:00:00+02:00,1,1,0,0,3.1055,2.9200000000000004
2024-01-01 02:00:00+00:00,0.0,858.0,858.0,0.0,12.6,2024-01-01 04:00:00+02:00,2,1,0,0,2.5195,2.386
2024-01-01 03:00:00+00:00,19.0,826.0,845.0,0.0,12.2,2024-01-01 05:00:00+02:00,3,1,0,0,2.4145,2.314
2024-01-01 04:00:00+00:00,0.0,844.0,844.0,0.0,11.9,2024-01-01 06:00:00+02:00,4,1,0,0,2.532,2.442
2024-01-01 05:00:00+00:00,2.0,837.0,839.0,0.0,11.8,2024-01-01 07:00:00+02:00,5,1,0,0,2.6605,2.564
2024-01-01 06:00:00+00:00,280.0,919.0,1199.0,1.0,12.2,2024-01-01 08:00:00+02:00,6,1,0,0,3.018,2.884
2024-01-01 07:00:00+00:00,1354.0,917.0,2271.0,51.0,11.8,2024-01-01 09:00:00+02:00,7,1,0,0,3.221,3.0020000000000002
2024-01-01 08:00:00+00:00,2273.0,879.0,3152.0,208.0,12.9,2024-01-01 10:00:00+02:00,8,1,0,0,2.7954999999999997,2.6
2024-01-01 09:00:00+00:00,2819.0,897.0,3716.0,357.0,13.5,2024-01-01 11:00:00+02:00,9,1,0,0,3.5789999999999997,3.2439999999999998
2024-01-01 10:00:00+00:00,2944.0,982.0,3926.0,434.0,14.1,2024-01-01 12:00:00+02:00,10,1,0,0,3.685,3.2600000000000002
2024-01-01 11:00:00+00:00,2692.0,1114.0,3806.0,467.0,14.7,2024-01-01 13:00:00+02:00,11,1,0,0,3.4925,3.008
2024-01-01 12:00:00+00:00,2297.0,1164.0,3461.0,436.0,15.1,2024-01-01 14:00:00+02:00,12,1,0,0,3.4185,2.966
2024-01-01 13:00:00+00:00,1473.0,1128.0,2601.0,296.0,16.0,2024-01-01 15:00:00+02:00,13,1,0,0,3.1525,2.806
2024-01-01 14:00:00+00:00,355.0,1113.0,1468.0,190.0,15.8,2024-01-01 16:00:00+02:00,14,1,0,0,2.9825,2.5860000000000003
