datetime_utc,Solar_MW,WindOnshore_MW,TotalRES_MW,datetime_athens,hour_of_day,month,day_of_week,is_weekend,windspeed_greece_weighted_ms,windspeed_greece_simple_ms,irradiance_Wm2,windspeed_ms,temperature_C,cloudcover_pct,cloudcover_low_pct,cloudcover_mid_pct,cloudcover_high_pct,price_EURperMWh,is_negative_price,price_rolling24h
2024-01-01 00:00:00+00:00,0.0,738.0,738.0,2024-01-01 02:00:00+02:00,0,1,0,0,2.7625,2.534,0.0,0.32,12.9,100,1,95,98,104.0,0,
2024-01-01 01:00:00+00:00,0.0,837.0,837.0,2024-01-01 03:00:00+02:00,1,1,0,0,3.1055,2.9200000000000004,0.0,0.89,12.9,100,17,100,100,100.0,0,
2024-01-01 02:00:00+00:00,0.0,858.0,858.0,2024-01-01 04:00:00+02:00,2,1,0,0,2.5195,2.386,0.0,0.71,12.6,100,5,100,100,85.66,0,
2024-01-01 03:00:00+00:00,19.0,826.0,845.0,2024-01-01 05:00:00+02:00,3,1,0,0,2.4145,2.314,0.0,0.6,12.2,100,4,100,100,85.0,0,
2024-01-01 04:00:00+00:00,0.0,844.0,844.0,2024-01-01 06:00:00+02:00,4,1,0,0,2.532,2.442,0.0,0.51,11.9,100,14,99,87,85.53,0,
2024-01-01 05:00:00+00:00,2.0,837.0,839.0,2024-01-01 07:00:00+02:00,5,1,0,0,2.6605,2.564,0.0,0.9,11.8,100,4,100,100,95.07,0,
2024-01-01 06:00:00+00:00,280.0,919.0,1199.0,2024-01-01 08:00:00+02:00,6,1,0,0,3.018,2.884,1.0,0.41,12.2,100,1,97,100,103.07,0,
2024-01-01 07:00:00+00:00,1354.0,917.0,2271.0,2024-01-01 09:00:00+02:00,7,1,0,0,3.221,3.002,51.0,0.5,11.8,78,0,7,77,65.0,0,
2024-01-01 08:00:00+00:00,2273.0,879.0,3152.0,2024-01-01 10:00:00+02:00,8,1,0,0,2.7955,2.6,208.0,0.85,12.9,3,0,2,0,47.34,0,
2024-01-01 09:00:00+00:00,2819.0,897.0,3716.0,2024-01-01 11:00:00+02:00,9,1,0,0,3.579,3.244,357.0,1.3,13.5,9,0,9,0,1.0,0,
2024-01-01 10:00:00+00:00,2944.0,982.0,3926.0,2024-01-01 12:00:00+02:00,10,1,0,0,3.685,3.26,434.0,2.01,14.1,6,0,6,0,0.54,0,
2024-01-01 11:00:00+00:00,2692.0,1114.0,3806.0,2024-01-01 13:00:00+02:00,11,1,0,0,3.4925,3.008,467.0,2.36,14.7,1,0,0,0,2.24,0,
2024-01-01 12:00:00+00:00,2297.0,1164.0,3461.0,2024-01-01 14:00:00+02:00,12,1,0,0,3.4185,2.966,436.0,2.69,15.1,0,0,0,0,3.24,0,
2024-01-01 13:00:00+00:00,1473.0,1128.0,2601.0,2024-01-01 15:00:00+02:00,13,1,0,0,3.1525,2.806,296.0,3.66,16.0,2,2,0,0,65.1,0,
2024-01-01 14:00:00+00:00,355.0,1113.0,1468.0,2024-01-01 16:00:00+02:00,14,1,0,0,2.9825,2.5860000000000003,190.0,2.86,15.8,2,2,0,0,96.91,0,
2024-01-01 15:00:00+00:00,8.0,1137.0,1145.0,2024-01-01 17:00:00+02:00,15,1,0,0,2.883,2.684,77.0,1.43,13.7,0,0,0,0,97.44,0,
2024-01-01 16:00:00+00:00,1.0,1102.0,1103.0,2024-01-01 18:00:00+02:00,16,1,0,0,2.5885,2.382000000000001,1.0,0.89,14.7,2,0,2,0,94.0,0,
2024-01-01 17:00:00+00:00,0.0,1065.0,1065.0,2024-01-01 19:00:00+02:00,17,1,0,0,2.544,2.196,0.0,0.61,14.9,0,0,0,0,98.58,0,
2024-01-01 18:00:00+00:00,0.0,953.0,953.0,2024-01-01 20:00:00+02:00,18,1,0,0,2.467,2.0700000000000003,0.0,1.56,13.1,41,0,0,41,101.03,0,
2024-01-01 19:00:00+00:00,0.0,1007.0,1007.0,2024-01-01 21:00:00+02:00,19,1,0,0,2.8395,2.368,0.0,1.25,13.5,36,0,0,36,105.72,0,
2024-01-01 20:00:00+00:00,0.0,1082.0,1082.0,2024-01-01 22:00:00+02:00,20,1,0,0,3.2735,2.81,0.0,0.54,13.8,32,0,1,31,101.06,0,
2024-01-01 21:00:00+00:00,0.0,1063.0,1063.0,2024-01-01 23:00:00+02:00,21,1,0,0,3.4675,2.9900000000000007,0.0,0.45,13.4,74,1,3,74,103.19,0,
2024-01-01 22:00:00+00:00,0.0,1025.0,1025.0,2024-01-02 00:00:00+02:00,22,1,0,0,3.5914999999999995,3.092,0.0,0.5,13.1,75,0,3,74,99.05,0,
2024-01-01 23:00:00+00:00,0.0,1109.0,1109.0,2024-01-02 01:00:00+02:00,23,1,0,0,3.6495000000000006,3.194,0.0,0.67,12.9,78,0,0,78,55.0,0,74.78208333333333
2024-01-02 00:00:00+00:00,0.0,1082.0,1082.0,2024-01-02 02:00:00+02:00,0,1,1,0,3.6165,3.2060000000000004,0.0,0.36,12.6,99,0,1,99,90.09,0,74.2025
2024-01-02 01:00:00+00:00,0.0,1183.0,1183.0,2024-01-02 03:00:00+02:00,1,1,1,0,3.8755,3.326,0.0,0.57,12.0,100,1,0,100,84.27,0,73.54708333333333
2024-01-02 02:00:00+00:00,0.0,1328.0,1328.0,2024-01-02 04:00:00+02:00,2,1,1,0,4.000500000000001,3.426,0.0,0.78,11.6,100,0,1,100,40.82,0,71.67875
2024-01-02 03:00:00+00:00,0.0,1509.0,1509.0,2024-01-02 05:00:00+02:00,3,1,1,0,3.945,3.3560000000000008,0.0,1.08,11.4,100,0,5,100,84.27,0,71.64833333333333
2024-01-02 04:00:00+00:00,0.0,1633.0,1633.0,2024-01-02 06:00:00+02:00,4,1,1,0,4.029,3.468,0.0,0.76,12.6,100,1,39,100,100.0,0,72.25125
2024-01-02 05:00:00+00:00,0.0,1597.0,1597.0,2024-01-02 07:00:00+02:00,5,1,1,0,3.9925,3.454,0.0,0.6,12.6,100,4,3,100,108.28,0,72.80166666666666
2024-01-02 06:00:00+00:00,82.0,1665.0,1747.0,2024-01-02 08:00:00+02:00,6,1,1,0,3.6875,3.166,1.0,1.02,12.1,100,5,93,100,113.85,0,73.25083333333333
2024-01-02 07:00:00+00:00,346.0,1683.0,2029.0,2024-01-02 09:00:00+02:00,7,1,1,0,3.6555,3.1339999999999995,45.0,1.14,11.6,100,3,86,100,107.42,0,75.01833333333333
2024-01-02 08:00:00+00:00,674.0,1731.0,2405.0,2024-01-02 10:00:00+02:00,8,1,1,0,3.365,2.848,115.0,0.61,12.6,100,1,99,100,76.36,0,76.22749999999999
2024-01-02 09:00:00+00:00,1071.0,1738.0,2809.0,2024-01-02 11:00:00+02:00,9,1,1,0,3.633,3.146,119.0,0.5,12.9,100,0,98,100,75.6,0,79.33583333333333
2024-01-02 10:00:00+00:00,1800.0,1701.0,3501.0,2024-01-02 12:00:00+02:00,10,1,1,0,3.8815,3.2700000000000005,60.0,0.71,12.6,100,0,95,100,77.87,0,82.55791666666666
2024-01-02 11:00:00+00:00,2123.0,1819.0,3942.0,2024-01-02 13:00:00+02:00,11,1,1,0,3.8825,3.316,86.0,0.42,13.2,100,2,100,100,80.27,0,85.80916666666667
2024-01-02 12:00:00+00:00,1798.0,1736.0,3534.0,2024-01-02 14:00:00+02:00,12,1,1,0,3.822,3.304,101.0,0.3,13.6,100,1,98,100,81.27,0,89.06041666666668
2024-01-02 13:00:00+00:00,1253.0,1516.0,2769.0,2024-01-02 15:00:00+02:00,13,1,1,0,4.709499999999999,4.202,102.0,0.86,14.6,100,0,94,100,95.12,0,90.31124999999999
2024-01-02 14:00:00+00:00,407.0,1352.0,1759.0,2024-01-02 16:00:00+02:00,14,1,1,0,4.7535,4.298,100.0,0.6,14.6,100,0,2,100,102.56,0,90.54666666666667
2024-01-02 15:00:00+00:00,8.0,1331.0,1339.0,2024-01-02 17:00:00+02:00,15,1,1,0,4.512500000000001,4.000000000000001,57.0,1.03,13.4,96,1,1,96,102.38,0,90.7525
2024-01-02 16:00:00+00:00,0.0,1394.0,1394.0,2024-01-02 18:00:00+02:00,16,1,1,0,4.3335,3.83,1.0,1.0,14.4,30,0,4,27,103.32,0,91.14083333333332
2024-01-02 17:00:00+00:00,0.0,1355.0,1355.0,2024-01-02 19:00:00+02:00,17,1,1,0,4.162000000000001,3.702,0.0,1.0,14.1,1,0,1,0,103.58,0,91.34916666666668
2024-01-02 18:00:00+00:00,46.0,1313.0,1359.0,2024-01-02 20:00:00+02:00,18,1,1,0,3.7920000000000007,3.3920000000000003,0.0,1.0,13.8,0,0,0,0,106.06,0,91.55875000000002
2024-01-02 19:00:00+00:00,16.0,1260.0,1276.0,2024-01-02 21:00:00+02:00,19,1,1,0,3.3595000000000006,2.994,0.0,1.03,13.7,0,0,0,0,104.96,0,91.52708333333334
2024-01-02 20:00:00+00:00,0.0,1266.0,1266.0,2024-01-02 22:00:00+02:00,20,1,1,0,3.289,3.01,0.0,0.61,13.5,0,0,0,0,102.2,0,91.57458333333334
2024-01-02 21:00:00+00:00,0.0,1348.0,1348.0,2024-01-02 23:00:00+02:00,21,1,1,0,3.1245000000000003,2.884,0.0,0.45,13.2,0,0,0,0,101.97,0,91.52374999999999
2024-01-02 22:00:00+00:00,0.0,1439.0,1439.0,2024-01-03 00:00:00+02:00,22,1,1,0,3.0125,2.88,0.0,0.5,12.8,0,0,0,0,92.41,0,91.24708333333335
2024-01-02 23:00:00+00:00,0.0,1516.0,1516.0,2024-01-03 01:00:00+02:00,23,1,1,0,3.0689999999999995,2.93,0.0,0.54,12.8,0,0,0,0,82.5,0,92.39291666666668
2024-01-03 00:00:00+00:00,0.0,1551.0,1551.0,2024-01-03 02:00:00+02:00,0,1,2,0,3.3225,3.114,0.0,0.6,12.7,1,1,0,0,70.1,0,91.56
2024-01-03 01:00:00+00:00,0.0,1532.0,1532.0,2024-01-03 03:00:00+02:00,1,1,2,0,3.517000000000001,3.248,0.0,0.91,12.8,1,1,0,0,50.21,0,90.14083333333333
2024-01-03 02:00:00+00:00,0.0,1568.0,1568.0,2024-01-03 04:00:00+02:00,2,1,2,0,3.8855,3.5420000000000003,0.0,1.24,12.2,0,0,0,0,40.0,0,90.10666666666667
2024-01-03 03:00:00+00:00,1.0,1693.0,1694.0,2024-01-03 05:00:00+02:00,3,1,2,0,3.9575,3.5780000000000003,0.0,1.1,12.4,0,0,0,0,50.0,0,88.67875
2024-01-03 04:00:00+00:00,1.0,1807.0,1808.0,2024-01-03 06:00:00+02:00,4,1,2,0,3.7835,3.472,0.0,1.66,9.9,0,0,0,0,75.0,0,87.63708333333334
