datetime_utc,irradiance_Wm2,windspeed_ms,temperature_C
2024-01-01 00:00:00+00:00,0.0,0.32,12.9
2024-01-01 01:00:00+00:00,0.0,0.89,12.9
2024-01-01 02:00:00+00:00,0.0,0.71,12.6
2024-01-01 03:00:00+00:00,0.0,0.6,12.2
2024-01-01 04:00:00+00:00,0.0,0.51,11.9
2024-01-01 05:00:00+00:00,0.0,0.9,11.8
2024-01-01 06:00:00+00:00,1.0,0.41,12.2
2024-01-01 07:00:00+00:00,51.0,0.5,11.8
2024-01-01 08:00:00+00:00,208.0,0.85,12.9
2024-01-01 09:00:00+00:00,357.0,1.3,13.5
2024-01-01 10:00:00+00:00,434.0,2.01,14.1
2024-01-01 11:00:00+00:00,467.0,2.36,14.7
2024-01-01 12:00:00+00:00,436.0,2.69,15.1
2024-01-01 13:00:00+00:00,296.0,3.66,16.0
2024-01-01 14:00:00+00:00,190.0,2.86,15.8
2024-01-01 15:00:00+00:00,77.0,1.43,13.7
2024-01-01 16:00:00+00:00,1.0,0.89,14.7
2024-01-01 17:00:00+00:00,0.0,0.61,14.9
2024-01-01 18:00:00+00:00,0.0,1.56,13.1
2024-01-01 19:00:00+00:00,0.0,1.25,13.5
2024-01-01 20:00:00+00:00,0.0,0.54,13.8
2024-01-01 21:00:00+00:00,0.0,0.45,13.4
2024-01-01 22:00:00+00:00,0.0,0.5,13.1
2024-01-01 23:00:00+00:00,0.0,0.67,12.9
2024-01-02 00:00:00+00:00,0.0,0.36,12.6
2024-01-02 01:00:00+00:00,0.0,0.57,12.0
2024-01-02 02:00:00+00:00,0.0,0.78,11.6
2024-01-02 03:00:00+00:00,0.0,1.08,11.4
2024-01-02 04:00:00+00:00,0.0,0.76,12.6
2024-01-02 05:00:00+00:00,0.0,0.6,12.6
2024-01-02 06:00:00+00:00,1.0,1.02,12.1
2024-01-02 07:00:00+00:00,45.0,1.14,11.6
2024-01-02 08:00:00+00:00,115.0,0.61,12.6
2024-01-02 09:00:00+00:00,119.0,0.5,12.9
2024-01-02 10:00:00+00:00,60.0,0.71,12.6
2024-01-02 11:00:00+00:00,86.0,0.42,13.2
2024-01-02 12:00:00+00:00,101.0,0.3,13.6
2024-01-02 13:00:00+00:00,102.0,0.86,14.6
2024-01-02 14:00:00+00:00,100.0,0.6,14.6
2024-01-02 15:00:00+00:00,57.0,1.03,13.4
2024-01-02 16:00:00+00:00,1.0,1.0,14.4
2024-01-02 17:00:00+00:00,0.0,1.0,14.1
2024-01-02 18:00:00+00:00,0.0,1.0,13.8
2024-01-02 19:00:00+00:00,0.0,1.03,13.7
2024-01-02 20:00:00+00:00,0.0,0.61,13.5
2024-01-02 21:00:00+00:00,0.0,0.45,13.2
2024-01-02 22:00:00+00:00,0.0,0.5,12.8
2024-01-02 23:00:00+00:00,0.0,0.54,12.8
2024-01-03 00:00:00+00:00,0.0,0.6,12.7
2024-01-03 01:00:00+00:00,0.0,0.91,12.8
2024-01-03 02:00:00+00:00,0.0,1.24,12.2
2024-01-03 03:00:00+00:00,0.0,1.1,12.4
2024-01-03 04:00:00+00:00,0.0,1.66,9.9
2024-01-03 05:00:00+00:00,0.0,1.93,8.9
2024-01-03 06:00:00+00:00,2.0,1.53,10.2
2024-01-03 07:00:00+00:00,89.0,1.36,10.8
2024-01-03 08:00:00+00:00,238.0,2.26,13.0
2024-01-03 09:00:00+00:00,373.0,3.91,14.1
2024-01-03 10:00:00+00:00,456.0,4.3,14.8
2024-01-03 11:00:00+00:00,481.0,5.0,15.4
2024-01-03 12:00:00+00:00,449.0,5.26,15.8
2024-01-03 13:00:00+00:00,353.0,5.3,16.2
2024-01-03 14:00:00+00:00,179.0,4.3,15.8
2024-01-03 15:00:00+00:00,67.0,3.41,14.4
2024-01-03 16:00:00+00:00,1.0,2.7,12.5
2024-01-03 17:00:00+00:00,0.0,2.71,13.0
2024-01-03 18:00:00+00:00,0.0,2.33,12.1
2024-01-03 19:00:00+00:00,0.0,2.71,12.0
2024-01-03 20:00:00+00:00,0.0,3.42,12.1
2024-01-03 21:00:00+00:00,0.0,3.67,11.9
2024-01-03 22:00:00+00:00,0.0,3.04,11.3
2024-01-03 23:00:00+00:00,0.0,2.85,10.8
2024-01-04 00:00:00+00:00,0.0,3.04,10.8
2024-01-04 01:00:00+00:00,0.0,2.5,11.6
2024-01-04 02:00:00+00:00,0.0,2.3,10.7
2024-01-04 03:00:00+00:00,0.0,1.9,10.2
2024-01-04 04:00:00+00:00,0.0,1.21,12.8
2024-01-04 05:00:00+00:00,0.0,1.72,10.5
2024-01-04 06:00:00+00:00,2.0,1.92,9.9
2024-01-04 07:00:00+00:00,85.0,1.73,12.2
2024-01-04 08:00:00+00:00,233.0,3.04,13.7
2024-01-04 09:00:00+00:00,363.0,3.05,14.8
2024-01-04 10:00:00+00:00,445.0,3.72,15.4
2024-01-04 11:00:00+00:00,470.0,3.71,16.0
2024-01-04 12:00:00+00:00,435.0,3.62,16.4
2024-01-04 13:00:00+00:00,335.0,3.58,16.8
2024-01-04 14:00:00+00:00,228.0,3.68,16.2
2024-01-04 15:00:00+00:00,83.0,3.14,14.9
2024-01-04 16:00:00+00:00,2.0,3.52,13.8
2024-01-04 17:00:00+00:00,0.0,3.95,13.7
2024-01-04 18:00:00+00:00,0.0,4.13,13.6
2024-01-04 19:00:00+00:00,0.0,2.32,11.6
2024-01-04 20:00:00+00:00,0.0,2.11,10.3
2024-01-04 21:00:00+00:00,0.0,2.32,9.9
2024-01-04 22:00:00+00:00,0.0,1.92,9.6
2024-01-04 23:00:00+00:00,0.0,1.65,10.0
2024-01-05 00:00:00+00:00,0.0,2.05,8.4
2024-01-05 01:00:00+00:00,0.0,1.28,12.1
2024-01-05 02:00:00+00:00,0.0,1.13,13.1
2024-01-05 03:00:00+00:00,0.0,1.58,11.1
2024-01-05 04:00:00+00:00,0.0,1.92,10.2
2024-01-05 05:00:00+00:00,0.0,1.84,10.4
2024-01-05 06:00:00+00:00,2.0,1.56,11.9
2024-01-05 07:00:00+00:00,86.0,1.13,11.9
2024-01-05 08:00:00+00:00,239.0,0.41,14.1
2024-01-05 09:00:00+00:00,374.0,0.41,15.4
2024-01-05 10:00:00+00:00,461.0,0.67,16.5
2024-01-05 11:00:00+00:00,490.0,0.78,16.9
2024-01-05 12:00:00+00:00,458.0,0.76,17.4
2024-01-05 13:00:00+00:00,373.0,1.2,17.1
2024-01-05 14:00:00+00:00,241.0,2.0,16.4
2024-01-05 15:00:00+00:00,87.0,1.35,13.9
2024-01-05 16:00:00+00:00,2.0,1.7,12.6
2024-01-05 17:00:00+00:00,0.0,1.8,12.4
2024-01-05 18:00:00+00:00,0.0,1.92,11.9
2024-01-05 19:00:00+00:00,0.0,1.71,12.1
2024-01-05 20:00:00+00:00,0.0,1.81,11.9
2024-01-05 21:00:00+00:00,0.0,1.91,11.6
2024-01-05 22:00:00+00:00,0.0,1.71,11.8
2024-01-05 23:00:00+00:00,0.0,1.7,11.8
2024-01-06 00:00:00+00:00,0.0,2.42,11.7
2024-01-06 01:00:00+00:00,0.0,1.81,11.2
2024-01-06 02:00:00+00:00,0.0,1.41,11.5
2024-01-06 03:00:00+00:00,0.0,1.43,11.1
2024-01-06 04:00:00+00:00,0.0,1.72,10.8
2024-01-06 05:00:00+00:00,0.0,1.75,10.9
2024-01-06 06:00:00+00:00,2.0,1.7,11.2
2024-01-06 07:00:00+00:00,61.0,1.89,13.8
2024-01-06 08:00:00+00:00,176.0,4.0,15.9
2024-01-06 09:00:00+00:00,300.0,6.13,16.8
2024-01-06 10:00:00+00:00,343.0,6.9,17.0
2024-01-06 11:00:00+00:00,390.0,7.22,16.9
2024-01-06 12:00:00+00:00,408.0,8.0,17.0
2024-01-06 13:00:00+00:00,282.0,6.72,16.3
2024-01-06 14:00:00+00:00,219.0,5.92,16.0
2024-01-06 15:00:00+00:00,79.0,5.57,15.2
2024-01-06 16:00:00+00:00,2.0,5.2,14.9
2024-01-06 17:00:00+00:00,0.0,5.13,14.9
2024-01-06 18:00:00+00:00,0.0,4.65,14.6
2024-01-06 19:00:00+00:00,0.0,4.91,14.6
2024-01-06 20:00:00+00:00,0.0,5.91,14.6
2024-01-06 21:00:00+00:00,0.0,6.66,14.9
2024-01-06 22:00:00+00:00,0.0,7.62,15.1
2024-01-06 23:00:00+00:00,0.0,10.7,13.6
2024-01-07 00:00:00+00:00,0.0,6.61,12.7
2024-01-07 01:00:00+00:00,0.0,6.3,14.1
2024-01-07 02:00:00+00:00,0.0,4.64,13.8
2024-01-07 03:00:00+00:00,0.0,4.68,13.9
2024-01-07 04:00:00+00:00,0.0,4.9,13.8
2024-01-07 05:00:00+00:00,0.0,6.22,13.8
2024-01-07 06:00:00+00:00,2.0,6.5,13.4
2024-01-07 07:00:00+00:00,48.0,6.9,13.8
2024-01-07 08:00:00+00:00,135.0,6.54,14.5
2024-01-07 09:00:00+00:00,240.0,6.77,15.2
2024-01-07 10:00:00+00:00,262.0,6.96,14.1
2024-01-07 11:00:00+00:00,275.0,7.17,15.6
2024-01-07 12:00:00+00:00,383.0,8.16,15.3
2024-01-07 13:00:00+00:00,358.0,7.98,15.4
2024-01-07 14:00:00+00:00,237.0,7.26,15.0
2024-01-07 15:00:00+00:00,85.0,7.2,14.3
2024-01-07 16:00:00+00:00,3.0,7.78,13.8
2024-01-07 17:00:00+00:00,0.0,6.65,13.4
2024-01-07 18:00:00+00:00,0.0,6.44,12.9
2024-01-07 19:00:00+00:00,0.0,6.08,12.3
2024-01-07 20:00:00+00:00,0.0,5.38,11.9
2024-01-07 21:00:00+00:00,0.0,5.6,11.9
2024-01-07 22:00:00+00:00,0.0,5.45,11.8
2024-01-07 23:00:00+00:00,0.0,5.1,11.4
2024-01-08 00:00:00+00:00,0.0,4.78,11.3
2024-01-08 01:00:00+00:00,0.0,3.91,11.2
2024-01-08 02:00:00+00:00,0.0,4.36,11.4
2024-01-08 03:00:00+00:00,0.0,4.96,11.4
2024-01-08 04:00:00+00:00,0.0,4.36,10.9
2024-01-08 05:00:00+00:00,0.0,3.81,10.4
2024-01-08 06:00:00+00:00,2.0,3.32,9.9
2024-01-08 07:00:00+00:00,86.0,2.96,11.8
2024-01-08 08:00:00+00:00,239.0,4.48,13.4
2024-01-08 09:00:00+00:00,372.0,5.27,13.9
2024-01-08 10:00:00+00:00,456.0,4.77,14.4
2024-01-08 11:00:00+00:00,482.0,5.3,14.8
2024-01-08 12:00:00+00:00,417.0,4.6,15.1
2024-01-08 13:00:00+00:00,311.0,3.16,14.7
2024-01-08 14:00:00+00:00,223.0,3.1,14.0
2024-01-08 15:00:00+00:00,79.0,1.88,13.1
2024-01-08 16:00:00+00:00,3.0,1.8,11.6
2024-01-08 17:00:00+00:00,0.0,1.73,11.1
